0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/cd-top-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:23 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:24 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:25 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/userregistration.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/css/style.css HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/js/jquery-1.10.2.min.js HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/js/validator.min.js HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:30 +0530] "GET /Attacker/registration/images/bg.jpg HTTP/1.1" 200 439192
